Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3538397070398.5024,235002260698.84866,10151198358.06954,124795738354.20586,223548738877.85718,15088303656.831577,27664231650.73317,6132894764.278714,42988178575.47039,109373048058.59952,23762582478.538536,8816055137.713737,4901229125.982819,6894249030.454845,12867402241.105268,11623429663.687685
Etats-Unis,17983275314.958843,4586928480833.019,4859026718.781125,112831088845.88158,72925582214.36287,7127384784.112229,19427033351.99905,2329211103.3018208,54257311834.97907,69006492449.94917,45949864702.78381,2274897942.7593136,10413161678.245962,63028159113.46807,8479091042.635041,59143548417.01952
Inde,6096918992.653799,36986711174.13641,1410070394777.9531,40883838876.64993,36535594650.34282,7438385097.131272,29161742365.760098,2542591748.356141,16926209014.392513,10251166306.958582,4369251850.775469,1819829290.4643168,1446001221.971538,1757076043.5634627,2727964356.7293096,2689916993.8796806
Union européenne,23270791986.316063,159671982126.92096,8390258433.047829,3144581431224.6387,57275682787.03505,23050809891.06894,41795413900.632965,12157407230.025131,129784906842.47552,33804261342.555786,24118001977.447083,4907085652.073514,9494538246.016811,11058593156.373667,9607431023.472446,10660259058.189495
Asie Pacifique,78126201063.16055,259277777590.95322,20312458952.1061,211243942240.0633,1438460606154.148,37853100453.34102,58858130725.61276,35348655845.17409,75586375240.05621,125876175595.7439,33078361188.796265,29296169397.518673,8667928296.303917,11592690694.117765,40130417576.98178,15767532156.507332
Afrique,18907368973.52802,122532824219.16037,16385790033.765099,210051736790.6963,40633790709.11048,1066317899850.7622,28122161045.484993,2721081013.7975507,48280130398.48274,20441476557.461403,10653868916.735035,3339395479.712145,11639625927.089487,5548457493.3908825,4365051180.576557,7589997658.500402
Moyen-Orient,26188504829.920418,114031062520.58406,18986710055.88997,141125625191.9739,94012478466.01103,17577265763.964016,735732903672.4685,2741239897.232433,43425527648.05507,89928822711.75824,7504230732.527927,8546517633.053918,5913216137.991703,5296983013.900788,8548746894.01281,8253936856.765893
Russie,38996565609.03119,80326783954.83374,10085144339.235739,463053802585.40076,101885038948.71506,10009198722.135267,38436721136.69508,744806924642.9093,125745529054.43716,35001247331.201965,36223611083.97989,3745302704.0912924,6007057130.746307,4730624932.487729,4248858639.647213,5653566278.630612
Europe,10201116793.013659,71140430440.23082,4170350854.4761605,171074157918.7192,28276327634.118317,7793992771.959642,17112790412.033245,56090517024.61071,1027009447685.7148,10381196824.799473,7253049126.670755,2121810072.8074026,2456023615.1321726,3136881453.0702252,3469639311.5537534,4283943234.1499653
Japon,19488721118.89317,60892784767.530464,1604960328.3654916,23439473243.46161,49814372593.34941,1432303889.803999,4958945138.172546,430538426.2102521,7289808409.668253,931011096357.6815,4442130222.437539,1733420102.0700397,1321482130.8535628,1917216228.700531,2708421041.907328,2007916517.5590382
Amerique Latine et Caraïbes,6068622853.92456,145829123500.70038,2189890981.86887,52130931485.9782,12642010883.947283,3901678132.2795553,9588569816.542019,1405853004.9501963,13528220253.025608,10876877451.867077,636464440281.8578,1009431014.3434088,26414710886.391193,9165223724.050306,1467656692.9351554,6524763998.76446
Indonésie,12408402799.928411,27805220671.23607,3483417164.035473,19077264181.88991,41545654653.25661,2745308137.7216024,6596161430.289107,493679154.2312693,6706881909.661511,22570831833.996525,2687905751.9558263,310867335831.3655,902768837.9025573,1040751905.7939322,3885055851.2637215,1491835834.9050522
Brésil,2332316179.384762,19785826360.91526,539267429.1148286,16388681622.980032,6291240905.882006,891334433.9749746,3701636857.4633613,431908877.09605974,3746815558.190466,2855572230.085477,15831091331.755543,268288015.98013481,654480570144.2123,1750286364.5808527,570478806.7285004,866494828.2963396
Mexique,558193338.4000751,61957459793.48335,223463485.6630607,4258363952.794424,1706024214.5826879,205767938.87057048,477016491.11518085,75361002.09252168,1088318374.392373,1452552436.2009897,5752226896.766771,83249133.58179769,648010480.5115616,364691619250.645,237770774.05425566,1178433171.8465238
Australie,21988106071.626053,34311792229.5754,6544731055.897793,24918978080.398815,56026935160.718765,2906852776.883767,10428725291.081667,950101599.1872903,9633160722.133549,37764197743.50546,3300998225.734779,4880256804.643401,1806437614.8406432,2007307294.2025669,371309571213.93866,2823006230.4103975
Canada,4079850683.0527425,189850978941.277,860890368.8131329,13103154545.07237,7854278977.211861,1116860282.0716224,2202720173.193492,349797541.78913873,5005258027.816618,5509787109.301571,4095913071.3238187,367172967.46726906,1060903013.676719,3801339636.0468793,961195925.2668104,345729602964.94507
