Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9218301.36287613,72850.25707031216,114513.10540056298,26080.046957655773,194988.8040922597,62809.213657510685,15946.882879924808,25505.594991107107,901516.5918859303,8932.713587341173,17357.987716735148,24810.788277341293,205842.7461899825,189965.22138445004,13713.391569299054,67906.9221881142
Chine,17465.57957349722,4500774.370158298,231875.70841311556,25313.035578506788,243092.28726899618,11083.181544053366,4741.138937525234,13204.065398182387,138174.02635666807,4923.574339630582,17261.89435195842,17301.291765240323,48034.155536351085,37287.93309641993,8535.93128573479,102444.13480417071
Asie Pacifique,100783.0315171651,460856.36608760996,3440236.9771878985,66691.13765964915,561681.863110085,118309.44967741468,20260.837333563322,90882.6192061428,522666.83650079183,111668.0811490764,126690.3279021916,45460.85492406922,263979.1284105308,211328.3675535955,51919.60878853183,395498.25847283815
Amerique Latine et Caraïbes,79572.6592098448,91359.72979717233,102194.22990605398,3414906.013232494,532893.6464388566,25268.423938889962,83856.94922060253,61106.289179286076,401245.54089642747,6142.8745007012485,9686.85927570597,42695.048471128095,96717.70934907711,95630.23466486087,68332.3091383288,68931.30441681918
Etats-Unis,36498.82967156493,109998.38279952446,138651.6560577,91613.39785988035,4981023.713018467,8674.563872283443,7538.623465062279,6155.01735244173,131667.39529750665,6225.849908869687,8480.191857925207,75771.31864063584,45883.96750384029,43564.813337985215,129863.5606925138,114734.11645483677
Inde,10401.593195277857,9458.631197365108,49730.03575637853,3609.1169163345644,34344.988148661585,1966111.7717980747,1245.9207989771314,3425.2745717563976,42680.510573419,4691.9407785474405,3250.8206030051,3252.198058795936,16601.527749298977,29316.647020904536,3011.611660591711,8737.410856954337
Brésil,29262.45203046941,119351.86715658757,111757.84351931573,123216.09733750462,192192.68786348836,7910.683620587006,3318491.4002699987,38343.22711860101,194758.07727127304,2747.632440886611,5773.152003816721,10817.286303762055,54243.04886291144,89342.34285347586,12983.517785422324,36056.645194690165
Russie,33690.75310912665,691514.9314592102,371206.09590741934,18951.27589816303,172355.36356144483,14656.260967239357,4261.00105100614,3770440.2718608775,516231.69564907264,4533.711230880796,13066.51284297608,13293.796096527058,165654.80556422516,76818.58054282369,6616.621956216048,327728.1368484074
Union européenne,30008.629557488493,17862.700900570624,33772.35144011961,10373.491637729843,75188.54871232047,4718.671733329316,2968.8155132938823,18386.600394244317,2539995.1236494444,1905.7279679069893,6470.015713497258,6925.654994081552,123079.27217540357,45420.66238133022,4340.396370127963,23800.846480344273
Indonésie,8617.820338221929,52821.52886867462,95881.18563737081,6344.239367324346,89206.35698660211,26225.295933924426,3306.3159339929143,2205.013218809312,62612.93950495348,913614.3311540406,10661.957645801704,5784.671355237752,20869.235611819593,29542.45045302413,3274.8946917749736,64115.82880886536
Australie,20182.23354987609,90814.41663996714,212736.98294179887,9911.348289572305,190760.75898916318,10024.376384857387,1713.9569724112646,5112.264005116727,67375.35500693329,37945.39122713765,1933223.4067643846,9938.683231211759,35698.59065881814,50959.645436477105,8089.345450545774,236381.49662458806
Canada,12004.35797752799,38740.29628557027,48956.44523340454,29359.094906894814,737105.869831316,7092.2047362810135,3255.847350618096,2254.9140235474056,62380.62621159641,2743.1541458288857,5982.924979079101,1257386.2411721505,22992.23415714738,12413.470474256841,29770.337793044368,43619.369501890644
Europe,19023.020899924715,10221.214600039382,36205.29815026984,5821.822211612694,32429.29107065658,5321.923285980842,1918.8356620836826,95555.95275755718,189004.39280995616,2702.8500970126565,3297.3214493265673,3562.3242434934277,1039968.5091965322,46576.96071888725,2105.691108480985,8072.648220461445
Moyen-Orient,29065.199009045915,12392.723774106307,43214.09881849594,5105.542358233301,49686.67346309887,13383.9692658512,2977.126425720028,5024.437539378277,95540.73756370752,2364.272396752745,4238.004256658963,4425.171135104645,43122.362361455045,663859.6587491622,2220.1567254112024,12521.80105793048
Mexique,723.678296764197,715.5161802486737,2258.2831974242845,6901.143965290603,139148.08332020044,162.13359908991114,369.2979622144671,98.50611471450736,4565.199585173086,47.614539010788185,296.54706330387944,2351.5052306177445,1431.2059734392583,481.420316434997,962475.8023838575,1548.755870781148
Japon,97.40570039674853,1166.6209511949928,2287.160693985725,252.91424627699806,1898.8834674735244,73.68700037495998,35.40453589401531,63.980162584598524,1067.471383752751,59.77312733016033,125.83283721305564,101.27599253789901,341.77074779446315,234.0614807293287,66.641560722887,282526.2012855261
