Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9055375.334412135,145626.711289581,137309.36538020917,39380.013756356864,231436.96065418574,109252.88312950666,30982.091463474455,37768.71040554088,884119.9522826156,12274.047856402627,23127.354878579634,31473.513473706793,210647.5427935955,286556.4236806707,16630.808877708772,84256.71559079636
Chine,23829.878458981635,4557311.786463686,160475.70690410328,35247.252929142356,184585.47029198366,15217.837402376032,9186.87418982053,19429.434088207377,135170.89486831232,8121.593534400684,16208.182118865972,18173.339404153285,45955.9966678261,52451.6279809429,8188.467538611315,76099.369981049
Asie Pacifique,125598.40035894339,379857.97779218317,4082880.802522271,73845.64441173992,358705.6378649053,219670.74519182733,20453.342532203464,58867.53819849578,399921.74403689883,75003.74492951225,82331.59281633301,39879.42587224535,156899.0459018802,241845.83491265372,33313.284625026696,273192.0310706124
Amerique Latine et Caraïbes,69616.88039552515,146360.06033720617,95481.50536917849,3673787.3889330626,313963.0145838882,21619.30010046684,85628.64946193324,110545.97083802885,371699.8263857948,5573.879115246578,10835.940995789444,27458.020144334692,81614.48147159614,97403.93042461768,46661.45467106669,65411.25871037265
Etats-Unis,44842.1021662136,185017.5921985866,192129.22714319418,138028.72216725294,4576682.890696591,14733.484935804308,17179.419569300597,13912.035286707205,150240.61665390103,12152.124439880947,11148.918352524342,122474.91557836908,54325.23096052979,87381.85200238679,181062.38411843355,172994.81986078527
Inde,12221.345015674915,17723.761082997054,52309.49101872623,5996.58785142774,36628.49500814019,1921060.234305396,2586.8786879429135,3572.224695881878,49817.101761035,5761.213463419737,3872.651363487337,3782.9016274298533,17687.43787520878,46670.879434173126,2861.262582320617,13597.562905639574
Brésil,39666.01463544788,112315.13589903008,87866.04945858273,137544.6700885924,92605.19574644901,12336.591755821324,3510341.6140630855,66909.74082059557,115996.83893856617,4558.517300709368,4714.8704888164975,8015.1159845271795,34988.15455893248,87037.48965635704,7040.264396628684,22923.857113929425
Russie,48387.03067158805,768252.2063282909,298389.22270126047,27918.748690994715,156725.8856630947,25143.942870928564,9472.807023665773,4015354.1060604933,404452.3152988219,9535.99607697408,14351.223588650879,15848.035744967952,145947.27173458278,143646.6936314269,8022.30705693125,124493.0927327607
Union européenne,51582.272750960496,22131.39323062862,36811.2370323495,12900.725318585517,53661.39392463683,6772.79675680958,5254.03908401178,28037.757201987875,2504698.0992668397,2625.2467256347127,6416.505065488929,6945.679488058453,121817.33507958431,56020.98277467235,4242.260899091337,18099.071258165885
Indonésie,8594.782470822971,42938.48201670969,52855.48072757971,4914.0587358932335,45594.58091100666,24860.04059384605,3152.8329223209626,2659.708980608207,46322.09197936138,1056980.854941376,6344.931687085302,3950.8063861692167,13532.329338187283,28529.21844958166,1998.0155375477075,30801.817103802532
Australie,17256.219938827177,76237.58501151303,206124.24879888815,16431.647118965335,130956.30479324196,11476.669440439176,4112.528376544013,33206.1243384359,73565.92421745311,96185.59025825003,1765404.0267604948,10985.2106424114,32983.18605321186,76884.822460196,11715.591439610651,217945.54452386117
Canada,23108.981364186508,53911.61852737647,58198.83299663704,33807.73173959314,588356.8253579714,12728.512151267569,7465.618865216797,6027.135642280555,67575.69759233389,7492.271049224001,6346.217154899577,1231555.0244049465,28923.581671324406,36539.95308938159,32830.72527971631,90569.7484885427
Europe,22953.99769849518,11485.75912182442,39629.32558896688,6619.035485172263,27609.932367184752,6323.906480412384,3040.8114924255196,55226.84021333177,184202.64520775265,2620.043865239152,3830.0605211981783,3820.024767919954,1042914.3836110545,68687.61064782333,1856.6204221476667,7699.443941076519
Moyen-Orient,31060.765993313482,12257.640886663514,30744.599680632986,4856.664098771328,42422.18283312694,10679.175380882954,2722.02089245899,8483.756758997395,76540.4337035093,2678.4604280711264,3297.2564208149815,4036.7589462876076,28027.81037319731,563479.5072504941,1654.18227507434,9627.900711566119
Mexique,3227.6193734220137,1488.9216122476232,3001.458733942172,10884.50949910806,109668.91882511681,343.33441259566837,927.9849787954797,301.06579777241006,6143.167763094639,117.7560868056051,424.9789378728232,3738.9265978702915,1692.402094209096,1112.984367698426,965803.5566850854,4516.137111251021
Japon,183.07052671850207,1998.7491727426163,2743.2624667642963,371.89823472416015,1758.425174909083,131.81037661632993,84.76939436149753,218.69645991589755,1295.500449261207,134.96968130731074,156.40002760620501,140.22945445462568,404.16768869229554,497.1511297028532,115.29457642596607,279598.50391486665
