Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,8960971042699.316,460353743207.44446,75116203994.12888,296516803639.9374,685691160829.5117,111076163160.54338,198237079138.76825,60956553275.61973,113058445259.21115,155882786270.50424,133295782096.33566,37875392069.3877,49170683054.328,28798339354.48986,52609246301.034805,42593962520.036804
Etats-Unis,77665196665.0278,4278894781629.1694,9568370977.1118,102828499037.41489,70085611660.84247,17358125574.246616,30605991918.61998,9148948966.037487,40793966642.17125,35718009513.66576,91839532997.58464,4272308165.1233244,20197501143.08376,60107553274.74388,8385779213.487779,76040505705.80522
Inde,33844760248.564663,54294529911.4292,2426182811773.0884,60775912625.73867,76533685672.01192,41114733521.12361,111706374734.46875,5873626992.137437,27347781530.52877,13198472978.185993,14694505265.009193,6455628544.530427,7462752170.330153,3724988384.513472,6059878455.480003,5371688333.508226
Union européenne,109076450855.81007,117976853954.98813,14885526875.444773,2683415533685.317,73970100895.7364,53204136703.58199,63488201074.05626,38823645914.62736,145048992172.7084,29838577807.793293,28879977092.034916,5770288455.921392,18609714443.826576,9458962363.16912,12847645731.49337,13715970609.46656
Asie Pacifique,381002983493.1086,198338761910.68497,60762160232.34384,293238721862.6323,2032186616772.9343,87001324586.53183,110819015296.50134,44712256345.1075,102293222202.53247,109158035245.21436,51793985997.491585,66023859306.03292,23361518878.451416,13222711069.894112,69831756235.29819,22252320532.372303
Afrique,68707005496.67306,57401167577.35648,35007900680.64471,144898760412.6015,49753274195.83102,1731059590978.9365,65940651623.12408,7214881953.98543,40620805367.21159,17799465514.464874,13396069615.019794,5084059243.454806,16969123429.721642,3269881568.5145483,7619374351.359779,7406004688.910499
Moyen-Orient,168862207089.8274,161182404761.46155,79433958050.90355,169440458146.28406,201388060030.9424,82306400501.2299,1343805464658.85,14613168655.883268,69983718628.70517,101117713061.82474,23287568444.75365,18111824842.618355,15388997874.919855,8246348572.444699,19768501244.978073,13803632608.24458
Russie,81588080928.8932,40017723463.57369,11074992313.700045,305204240127.2303,91499756370.16235,17515365457.02518,29602034403.746616,1055501158096.274,132877254831.12141,26439157471.84786,11575140068.940718,4442776339.78962,6108807737.2401495,3461514793.8008018,4996625142.827515,5386490638.25859
Europe,29138880780.401085,41468338229.65596,8181122400.993917,136219996376.88629,38414975636.92638,23729636620.37712,52501925675.93137,55115311080.057274,1057423345545.3472,8569852786.225723,8926907051.002363,2948033810.4413176,5224068230.178222,2549189224.082975,4540750460.91242,5120607206.8582115
Japon,80970825457.84433,47961653793.333626,7700173601.5720215,27098951452.11166,69380206503.29175,6082632779.906574,18110603113.77363,4498374060.2638235,10122298771.454674,934883791387.8527,9257684548.000202,5974591409.441536,3830201313.820972,3301788963.22149,6575476080.8942175,3493393526.1994996
Amerique Latine et Caraïbes,63818412539.71415,115033375084.21964,15387939199.75011,60377427550.03141,38526354084.03404,14253414228.876919,24531221055.92649,23404504377.87282,17718072302.041626,10920334521.584665,903761085841.9312,2442393655.2259035,36405501187.73773,8618897340.33012,3050745666.18624,10151365962.685091
Indonésie,43654923051.25337,21044987097.97189,29206293254.984547,17863155721.279392,67047126016.53911,5745847440.430912,11712652215.405706,2343182165.172212,5966275371.073611,18994364063.222466,4167438171.740738,561944739389.3142,2193081543.793202,1115714054.8961096,5021074286.311177,1729971901.67271
Brésil,21775890603.758785,20473085164.58395,3220344830.0072627,17548682922.96358,26927430990.863693,7044888926.292824,23658859864.572613,13551032878.670462,5276170766.526365,4585664126.474963,43553456014.66985,1449497764.4584613,871285919698.4023,1745625277.0201411,1031154177.2495279,2000135157.1341078
Mexique,4549752420.949692,88301679461.65936,1718400979.976453,8486884973.908499,4455207195.941036,1355059926.1348083,2036290816.5466475,432809664.7264609,2260817507.795163,2334206920.9985547,13484467858.54865,229106379.5736647,2286500610.8402534,421439549704.4393,612026925.9652715,4355404669.834233
Australie,58543149496.91561,23765842381.713787,15770554437.696476,19890846215.256752,49561412636.39505,4514967580.379839,13358683993.968264,3209249703.6114182,6834782369.358255,26476573494.987194,3879924996.8611817,10705150635.95523,2717311300.4828315,1292672985.9061706,391780433748.407,2590154394.926281
Canada,16838982549.054996,202447659244.11807,2808971702.6515307,19984953847.017742,12214310768.267706,4021297344.1972475,5016639621.493944,1579581687.2316158,6909912433.06723,7134389235.595859,15467083148.93879,959174479.2779431,3030945791.808676,7385765424.551142,1691963877.0064754,343332650452.3603
