Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3295898132259.77,216328098111.0202,2129590246.838069,58875846284.798676,301797928198.4177,2619422184.197446,8315554001.666501,7351703586.058879,14149513357.157246,47736564701.441315,7652747355.568778,8424593360.355377,2363664055.7010646,6792826578.532148,8399161995.709984,14872205990.869558
Etats-Unis,5473918760.896195,4167183358254.896,1031591893.1749879,162103454173.1631,56221266860.91618,14365870142.545267,9296253100.488214,2009828988.9258356,51199619295.00641,80529593032.81525,25078722763.46389,2505168905.9314184,2483566400.2719326,9224208038.72567,4283528151.512087,35331151763.46431
Inde,928434311.901981,7909564437.086716,1285823098175.7092,8009562342.889353,9673516897.591877,4250965371.0373907,28668716199.996696,510810975.75486195,4246142376.4887915,3712431336.4388194,747510043.9162024,727366990.8879865,436366690.0937391,1109452680.2687905,647357155.1034603,49814116566.48533
Union européenne,14181819202.387398,121921344008.18741,4869942408.269818,3197219732830.5103,71690977676.12686,22997946452.719616,38487910004.11244,25036030827.633068,91362242279.81877,34688594558.606926,21804615259.57006,9064359517.020742,9956177665.909985,17272370025.519196,12829849403.71224,17069568602.443707
Asie Pacifique,43831766763.04548,193156223442.86536,18180350159.30449,176726675710.7985,1418793068027.4077,17935344581.32341,25140666548.635487,32464791237.15646,58847646035.76721,115703205064.794,16020198180.690168,40564780265.994644,13630024829.720127,10350405811.693111,26942541206.1006,16636981618.953806
Afrique,5114105143.90809,22810496894.093693,2476936942.9878235,194079840957.94586,22888828106.828293,1271014498491.6296,6523447171.18862,2963502258.2297125,28718082273.940372,14812662589.006378,6598566653.7067,3511399684.212842,15125964899.717533,4483258212.410242,3364704010.677545,9154649935.480072
Moyen-Orient,9040477485.7049,73359891259.09973,8781395329.7847,111709046757.86313,65385484839.68004,7001984931.942432,770626784398.1465,4144251152.2042394,24857823730.305454,76730768595.48978,5788054956.823634,6937887351.466513,19746190323.854275,3948155571.88423,5612670201.338922,8447715961.33546
Russie,48614717079.05033,64645901890.55476,1784293545.4372585,135785320504.14722,131033150786.16171,5338414332.352316,65488677125.547264,1232170815741.4067,107110126423.92007,30974298606.49647,17885762904.626457,6833341657.182319,3279720629.243234,3181697758.9984274,5233674190.569936,4293322421.399644
Europe,7814453543.56948,40349794023.46206,994956547.538672,134567565854.56158,35255296348.37724,4280515557.8302402,16049693351.562895,109873726274.06071,1105132884771.0427,14501621456.723118,9295629562.257763,2579793960.6932125,1934109339.2405324,3787431838.9918184,3189228786.4647856,5174090059.574661
Japon,5711856774.670055,47655229391.38197,350513886.411843,19671090142.76482,58897151780.46602,978976604.8117505,3201577974.3281484,972782816.2694434,19465572203.96806,957964465801.5522,2758982610.5203476,3076034586.6143866,1296059193.2245834,2747695353.6467123,2611172092.285379,3054301159.2586117
Amerique Latine et Caraïbes,3229521061.246835,48868542271.10229,1094136102.4071944,69671828571.426,14930171486.199516,2330240680.831528,9058181689.425413,2353481371.6684475,10999161638.432076,12712275885.968416,627327389033.4368,1920792311.0252445,42645526832.44633,5273326054.382164,1616396390.9945862,7434399598.37196
Indonésie,5161435914.667616,10378829402.798544,379752234.89634997,8494346972.648433,35337181764.33702,641840262.5770607,2354474113.52224,719127761.4614563,3507860907.6573925,22774754135.74479,1034703640.9080224,319128753582.07446,1180887415.7409284,908569802.0262245,3190798839.5112696,1247903897.7211401
Brésil,915118939.9292438,3738416311.9457045,71927472.850242,7743214189.425303,5950056376.652462,475457919.7937551,1379336033.0052476,578655292.6671219,3950896901.877096,3022138393.0712547,14005186136.592161,586652409.7788004,597908106428.5658,1816629919.332673,504480981.3229022,1092528512.789428
Mexique,1271743128.678709,21887513985.011074,184479868.97341707,10396267030.089367,5050013730.137573,803258380.0242791,2165868897.6334615,402426542.80885917,4737311123.226337,5002166085.62663,13493412312.446455,857722264.6831404,2566222513.730565,296190428562.0257,1238274791.8053126,5216144602.432997
Australie,7059564450.76454,10805734174.978487,646086787.509032,15637321376.097929,44287729828.262794,2865918427.9659076,2969155607.7570014,966464529.6129268,5271465444.494243,32508532077.404495,1464023555.4743223,7011402443.611414,997534886.497134,2118034392.10931,340022127141.8614,3763964940.6761103
Canada,5479423546.330451,99117365168.82808,587737719.5142837,34682705194.79205,17454603739.201122,3249146214.6784444,3433784265.8198724,1853325921.9545407,11705573310.863129,20946001111.920643,5748208182.283257,1674725112.0873184,3201252527.1077547,4928551914.15891,2610604329.34262,311667907144.1563
