Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9173338.97575301,195198.72638667878,175608.27718162927,51669.234956117354,216943.47547103034,110511.97509714025,31927.827934752426,38811.33013012424,730872.1028781357,14412.987586003834,25475.43645350496,34301.720205940626,192797.48232620786,276740.27506182744,14079.173192036666,67645.39415222497
Chine,24929.877400082023,4595893.539589767,189135.37579473678,38088.4654634616,178483.77075138493,20187.20160140157,11406.55177498306,18788.527426251803,125470.97027973809,9027.537813848045,18150.11472660485,16854.3760904419,45101.9323117728,59114.62021478041,7577.231803850348,66194.85113723716
Asie Pacifique,129534.675715987,737722.0583356606,3699434.435830935,83080.86092550702,359638.3044546564,283924.6412351202,24970.68189409404,56569.48830413866,384749.5469975728,80079.1508175998,96791.94966300648,46055.03584020179,164628.92801654697,234519.84474938785,19717.3402128003,251717.59699305697
Amerique Latine et Caraïbes,69776.09572582183,167701.86184935813,110364.27547579196,3727823.1566268164,258829.4252473608,35758.75417764408,94047.3173378636,102910.01506041226,317279.7725673903,9033.218081816636,12273.611261074386,25583.35251291022,88200.18840694337,108613.24253116443,35961.680555478895,59055.29170897575
Etats-Unis,55033.05131428922,254506.6753135413,220440.15586030943,126753.30085215233,4553108.091306398,19791.488456678708,16083.821140232321,15385.397911740674,128226.06546051186,12364.927539689814,14293.179408425583,123901.45767928778,56011.444625088574,72005.78530088089,146471.95264659717,138240.24171743542
Inde,11964.410545275774,20802.345490383454,49843.23766315574,6536.516900863076,28377.319536392148,1956233.7908605854,2915.928586475823,3997.0100122665353,40142.9057616413,4487.226085225997,4001.577233424889,3475.686912157986,16531.88995947181,40119.91815951567,1792.6649205562267,10402.603785858242
Brésil,35425.75699144082,155227.42251271356,111708.6785315803,128775.87744343332,88133.8986293684,12340.227494937648,3441300.7784056123,49642.16442601609,109019.11140605136,6622.288562086895,5315.216568414023,8090.887640381398,33307.93668465498,118643.18066901837,6146.801435718479,23616.59783973826
Russie,60647.59947079416,651497.1336903865,248161.4557859151,32195.700263644638,142074.73680184447,29698.855853273293,11142.113933846353,4437738.380089887,251915.29405410687,10057.084171112432,14552.932773751114,13670.789786926913,121323.61391485357,115248.99583298569,6941.7621935473135,65586.26521658959
Union européenne,56497.54255855342,29082.447127903084,46644.1970301999,13301.224485547968,50293.41831084965,8575.881685046572,6524.389431786089,29033.999714628855,2458143.713378106,3093.679857694093,7716.311039261063,7304.1576157885265,123056.02568646192,61455.619747521654,3708.2668536856927,17869.2169911414
Indonésie,7702.562655261226,39471.18376194192,51331.42021741681,5219.544232272904,34233.97339257466,30275.502398362405,5666.655069406588,3310.9479020704484,33855.30325192722,1115232.1671526309,4796.529702416938,3576.977044927496,10231.553054673459,19998.560735951804,1595.4041053616422,19981.615889497938
Australie,30379.29186848461,116972.78388533076,216979.4119519903,13305.697055436278,101204.45448567194,19107.277674375724,4371.898854731634,25337.005748846965,64533.448147983494,93624.70170125365,1701212.0497273048,8908.83601417903,34204.35846498477,76982.78128557438,3296.737014101505,168530.42708232297
Canada,18856.18571467833,102667.61739657879,86124.64577577903,37045.31327295703,521478.58868473093,16163.12955250009,7363.3226579508055,5882.966308626131,68106.48794440694,5774.731105056339,7497.581694939328,1221332.8426378164,30336.760084368027,30729.618292285864,29001.615843792588,82845.05656909727
Europe,32291.288086587694,17755.575129345485,49444.41934899899,7085.962569106151,30308.923975214773,11078.428483238984,3535.9933716510304,80793.16581333938,170329.30677344016,3052.4344002643165,3988.2709844159644,3827.243551086536,1004499.1000806454,60146.66242123618,1689.755903513966,7869.316308303177
Moyen-Orient,48627.03503571374,28868.055115744995,57709.161637298595,7027.029534242345,60755.67062468605,21123.303802703605,3637.1653915915317,10866.183375586997,80283.60045006791,5229.0508013109775,4014.678460222456,3966.1099215995255,34074.66549183612,458162.610003608,1898.9080777237662,9595.65393864105
Mexique,769.7254479366652,2298.0794422651225,3829.8695890515214,14802.687997116991,144059.7756566221,382.92781452833196,1082.5681932859447,1333.5549438174612,6205.263686668656,174.32685621003898,527.7843078355677,5366.091649514303,1803.4144367280915,1373.326883299281,923857.3051094726,5264.082660071307
Japon,199.02344083257054,2243.2087166242723,2958.7031082791173,311.68133107863656,1477.443814476729,155.61154765045234,91.90787359932052,141.78281562235702,1006.7392713538824,127.956592852232,174.22388829896957,128.34224002064593,390.05466122383774,480.33058093645366,83.84126596013833,279631.8925831253
