Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,11400959.032602586,363145.6943660043,209702.30237713043,36778.190412043885,212065.63621117163,125996.95460072224,37591.31767148062,40021.863842648665,716294.1061561792,17290.818263784513,24890.922175022555,31109.740069193034,185081.14327620564,461911.2364822659,14529.672961296164,83960.78165353421
Chine,53861.5581251295,6323502.664998223,333387.6767120811,62706.28530246479,252525.5426214434,30018.38302021151,21581.75286778296,33996.23154299721,165915.61084428523,15766.797548343488,27570.9233049589,24429.0935013902,64921.04646039763,101257.30993101733,13421.97813500481,99041.12396078772
Asie Pacifique,155009.31611046015,1624224.0775619112,3981525.755190492,95492.59875125358,448909.1537789521,451370.1768921057,34635.98064679529,74110.72091445659,464760.6034531116,95696.8776523411,115967.9747192788,49214.55766291555,165154.90096435155,287080.4010534276,22755.45802849619,294563.82355183177
Amerique Latine et Caraïbes,68928.63912316748,281022.79458354285,155117.90782051382,4353543.83778646,334989.5396256634,48842.29512288189,118337.67837018108,125371.6946156128,266721.5599353938,10388.365442492819,14285.89509040426,35781.007949209226,64082.320236271225,138512.46235032572,37742.79183271217,59749.46390245834
Etats-Unis,54085.31571154187,469611.61166378274,309425.4633660022,198425.14571345624,5010291.716024416,20493.46535002507,36406.6350857756,17481.373233456387,139769.75790256177,16137.182712290778,17575.043049039512,139654.97827964768,60701.76076363415,77017.96885349331,154901.26098697554,170718.04168729324
Inde,18718.474429660495,25336.70116572044,57876.57282442636,6487.328534823764,34876.98495343734,2250245.7662760615,2967.3980422268855,5042.261844471247,39741.22102978249,5762.634402438111,4283.371801572127,4357.337083939604,15631.668827412304,51723.98733276819,1960.0835122643011,8095.210765338129
Brésil,37113.006628357754,124392.09021205289,151422.96566515334,179429.5003842862,73344.63024055619,12578.357959494771,3398371.6794905122,53280.285212322684,80576.23166604088,7459.037747464506,4757.2472080995485,6706.412305843225,24566.503159475506,100931.50103592614,5789.152256314806,23507.44759584262
Russie,99633.37768232053,451464.64079704887,261154.9247815022,29230.950801582858,101431.17026107665,27402.00794780607,10343.581360731121,3599215.5283880625,246865.46650448185,11508.025910039847,12371.814201468364,10196.659187967362,150787.67963829634,165942.84047349775,10440.766718618372,45482.45696299012
Union européenne,71985.47787000945,61053.61997427741,57885.30188759113,17842.19670255229,60244.213215028794,10270.202409700716,7970.893529629357,31819.18722916845,2233394.5211316743,3774.120456500052,8489.709479560373,8416.650060719878,150900.76283210955,85189.4023208289,4628.529765756718,22336.582270287276
Indonésie,12457.831142394221,41246.802479645434,44655.62811332688,4994.9575293527705,26637.120746440014,22843.258416907694,3923.528243631905,4120.961609085956,29849.710125725393,1211800.2722762336,3353.2176003588843,2711.5607590361988,8258.527666309805,18593.037663454674,1274.9684039525196,16133.367689961136
Australie,29419.302375201354,246874.03416366412,226375.8436042828,13002.050293570734,154532.2985384958,17200.220529578906,6932.335633554911,16406.62547899312,71750.73182933296,108344.68756517622,1317594.752720864,13575.267096735266,26077.883920211854,82100.48944813876,3218.82626149365,118357.35280971252
Canada,25410.026923288642,196756.61397534446,98693.3246677283,46070.782960148594,527029.4423321676,19055.78757325932,7060.529742292664,6252.946097953265,62998.81490770004,7257.120847294295,7129.348449809832,915621.5101802438,29283.68349220646,28376.874262881985,23932.99306485199,87804.67584199597
Europe,42727.665173605455,47964.47350166572,76950.46642316948,8152.31999773451,34822.0666188009,13031.056378270674,4992.864831646785,77791.51561047761,192717.87918792502,4850.643524321141,5392.230964285724,5115.982783601632,826291.3461128261,99339.47392561781,2189.0943333687505,11493.037590094864
Moyen-Orient,48190.15184517792,42197.778470268655,74344.19417940202,6700.3358005707805,43879.40403490138,23037.114408232308,4050.8427635573585,14722.815891565058,71378.1933555532,5067.730749507328,4088.8213963627863,3665.206167933909,31231.593365921453,576918.0982038752,1818.0916175877499,10168.833072749654
Mexique,3728.8444313142945,7089.943960080363,9662.000024065317,21332.29217254543,230379.32573704276,694.6798301679231,1688.124684564469,630.0227224849128,9004.137258908262,303.1031517083403,1070.1821756933684,8327.497162542384,3781.6052237590166,2504.8002297101843,1052013.6856180548,8399.650955915507
Japon,170.94967714980982,2558.887593969877,2325.902628277876,240.72654169598079,1057.8198107658677,105.3410269349073,73.07967206972201,133.2800733891257,701.7593145291561,96.28481930406137,124.45437967538896,87.29817920117763,281.4239578330281,387.50176481159366,59.101987028095856,241587.29748473706
