Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9034666.57134052,113093.99860244845,130120.46288420436,30200.626448811945,227698.553784114,71742.39258037199,15530.698379145599,29473.604897184836,993571.6293143063,8147.981528142491,20005.68908427807,28359.418635579324,222530.66952019255,230695.68533534408,14076.12318283039,77005.9055255889
Chine,15980.04885463557,4521484.81270439,217251.01891862624,25260.25629807811,232201.21560327965,11535.015221824991,4517.138971212385,15108.924383713902,135561.1774591672,4444.586770036191,16598.417780986165,18242.22894833592,46762.382165855524,40134.65739208889,7614.976987546874,99471.47170301175
Asie Pacifique,111276.57471058838,397827.30133977195,3399403.846950895,69397.68615101159,560866.5771205014,131239.97454114258,18964.824214197073,67978.69643693313,528192.9442283395,101610.64798481137,120423.92108107495,50865.29058866964,258190.58998406402,202061.43782424417,82090.31446040786,492808.78473379236
Amerique Latine et Caraïbes,64733.87331622905,102054.15952162104,108422.62996047104,3431001.77735088,523841.52908867545,25881.311192594676,73225.40310068634,109860.74156700843,384888.92203102686,6530.217074882701,10059.661518019162,35108.51943896924,94150.88535098982,92097.44075144998,63240.71504391628,81096.76931759361
Etats-Unis,35634.18506193444,92675.27001939501,124706.39004955316,94941.81074781444,5011211.814828461,9810.557285275287,7276.329029411373,6248.663656644947,115986.67986621945,5632.941735770744,8387.589269304788,78671.5567397518,43505.145371362705,36462.09971290163,138501.3238105758,128988.96798761985
Inde,10182.316681008493,9739.122296980451,38744.716391690905,3671.3792187200825,31017.261462577495,1993736.7888005576,1273.2607330960225,3474.803472137607,37995.510328978795,2789.1941417835747,3188.6046359865986,3042.1716360518226,14353.35816097614,26602.625279094747,2266.2982709548255,8258.59737237628
Brésil,28513.304303176934,93324.45518190338,98382.36600478878,118731.9948403589,170631.53060254265,9884.571239560859,3406987.9796420257,57397.27706272738,169348.55129353018,2515.714940024101,4914.111571158722,9804.446561254113,49147.20135122011,80526.83657050363,9327.768203838164,29814.055020849453
Russie,52053.6026970451,791566.5991173981,462287.38922979054,25741.27216345737,241661.16360848857,21767.703833888885,5902.728152256951,3387546.194044526,581460.1289279622,7489.38317458526,17745.383376123867,18734.47089420758,182842.58879985116,117478.84853287684,8894.211680844883,274225.258276958
Union européenne,31179.120110265125,18070.810386991463,35885.22082346954,11048.52269933667,75514.82748455681,5498.202309137508,3270.4838337175856,20401.270686835076,2523698.5464229067,1994.8631318645253,6437.854089891842,7475.150177033408,121131.73660914131,41659.41005081516,4562.661296698938,23270.612927941133
Indonésie,8878.87051632738,45506.463678206834,83547.26754113268,5592.080677542124,71961.51690415564,25408.360798665526,3206.676678117363,2696.696747797661,58726.953651200376,943657.8900249621,9785.436467914014,5302.43107532534,17817.58427814029,30190.970832495423,2805.8893303806585,51730.14189835352
Australie,21877.46919569288,63949.84855899045,232110.55950189807,9477.094904824628,174693.42837041966,9742.785262572173,2214.6331533324533,5516.320241635024,67665.6595191734,46309.51773510696,1958542.4906075327,10552.167374955396,32726.669412075244,50620.95059396202,10788.337076605454,255107.83100398513
Canada,11971.542168428115,36963.90955934593,53612.757651243606,26779.575650513816,693574.3737885501,9396.295239181009,3226.8356641085375,2655.5357218648032,59503.62445108779,3486.220349748059,5406.700461442686,1251416.9048683343,23478.06386843997,13544.732712579236,25465.833234801812,95572.9490666738
Europe,27758.72101502275,9737.315477581582,36177.38276756766,6101.990019136348,32617.842089495454,6412.3007800349815,1865.442309807935,74612.56925669783,184391.7460273171,2824.4875482688717,3520.284425854651,3885.775588859964,1053830.4431594328,46704.614883125745,2294.9003118864152,7867.2947692057905
Moyen-Orient,28095.079609485125,11518.809654203804,45299.95439497294,5045.307016886014,50717.12235563988,12984.821335165301,2299.0837955766337,5888.556735985611,87058.3930789134,1873.330792593092,4215.731798197081,4418.2915947461615,42312.23803917672,524127.27531859017,1924.7616834199903,11772.746163094309
Mexique,792.585361865281,1030.0676077867622,2541.1940418597715,7449.454037154556,136590.0182920598,183.93243958434778,379.9483929115364,127.62343297517123,4209.679394735486,56.51079354671852,339.30923463276804,2805.881505760823,1278.7701545148248,586.3687353206258,956310.6885703342,3653.4701880904427
Japon,92.24094342488911,1207.34716952306,2150.7784672528906,216.8646843934919,1784.0566484815595,79.19311330891371,32.94828733913245,71.96654702592791,912.4096157476769,62.70801774532591,122.72202326978137,107.44040520511633,319.3882609593705,246.56516168573793,66.21496011520735,282820.28691949067
