Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,4943361.039523438,58548.042725493426,81732.18409047504,55273.14566241793,15442.60265078798,12562.405241966653,10330.061401927233,6373.638035773488,9452.204922071673,211150.04359352187,240813.57254449712,58107.77892485462,12103.426616105888,32343.998898404752,4582.055531655152,18987.52905156059
Chine,2415.741612115909,1984839.21588147,15959.725213533722,9749.37758746183,3837.3267575687105,572.2736436399291,1335.470525768132,598.962301895224,1337.1771328325403,4507.621803351651,11408.797567409352,3750.521472437422,1515.1999372648536,1714.2411320468443,918.4728420890061,3485.44371859395
Etats-Unis,1468.6731199338637,9630.553897223239,1974700.8478121436,62139.65343695835,22395.58093414066,1043.0035077846628,574.3899347907966,30958.201350386546,1273.0291917697007,9911.92366318636,14583.424170543174,3799.532370343919,30648.59623602259,1403.7323252713093,1786.867307645591,38915.3071992967
Asie Pacifique,37332.558494236226,294945.2494552667,182925.7799084697,1084169.9372255288,36077.26789694171,7547.260875072775,14982.384584479401,7367.26454202636,37139.96081809954,143448.06341559274,173413.2713335492,49713.730447729984,16947.22120176467,41636.446369998026,39958.44225196178,85330.92447685867
Amérique Latine et Caraïbes,19813.312871808543,158975.32849665795,129835.90161484464,65043.28152297884,1363906.0960014078,53070.154676996695,47909.49097918727,11476.20783319093,2991.6043347648965,114065.20713152229,158670.45037924222,63370.33374677033,15879.514441413185,6730.845986286616,2327.7597798770576,13022.932580635477
Brésil,6136.475698690336,47101.87138217606,9453.622175466842,39714.57677018078,26244.8556456996,838255.8892038114,12592.127835924737,743.944471737189,814.789545481594,69868.3142834295,20871.48714482597,7817.465648805815,882.747635511893,1973.471034018714,1471.8851284610382,4564.965823840951
Russie,1015.4071509646296,6440.012250253238,2318.6723197515903,7119.780728352902,922.0128327901048,371.7116129703225,247271.2647603975,193.81256455765057,288.3813177072036,1805.264266278408,10034.845663219263,4084.367645200229,298.66372950990177,1044.97174022464,292.10517301604676,1087.5828335138092
Mexique,126.99873734860775,720.9305389346939,122409.25196025382,3117.1516422217555,1676.4006932233763,99.82599008353567,47.53745468260341,267964.70597239427,97.34121832991529,396.7636432056462,1037.189882384641,272.2543524966236,2091.100930413044,100.40611474404199,79.92982651695806,3466.7303007482014
Australie,7937.8524126472275,151314.35113174215,142089.02134735647,158680.4478192443,9372.9586369417,4132.6639143126895,10989.53497278066,4707.875529985704,505497.8050202093,51503.1616889898,62290.12262076461,26763.838051834406,13825.298997855427,10484.963859028056,120324.5717484809,116130.6472672912
Moyen-Orient,14583.86207482458,22682.846350619602,26163.48336401536,24396.325619416162,3134.3466523244015,1771.5984145437048,1686.983111772186,996.119050223121,1812.3682414762486,220817.37187727026,24613.769424891645,8753.756782975572,1482.867343484069,11453.314536372409,1952.978145494818,3629.4864424347074
Union européenne,4976.40681337835,2781.5903515470372,4197.689191630553,3336.894865903472,983.239119088591,419.7298671097,1371.4805972725242,282.42607088909443,528.7135201898448,12655.409572704672,185112.21637564403,18168.285452676497,624.3860450848902,860.7761862498409,228.37513327526068,957.7366445831062
Europe,1604.3692440457187,2702.073360558279,2562.5752254504673,4159.770427882511,666.9474618762192,321.24199160003064,17071.872134297424,190.60394003547742,452.0300125171178,6288.155459728599,14250.94537432586,107917.18417110221,524.3787022615012,717.4302195553877,222.41446574940522,650.2206327635827
Canada,204.38568350418245,3531.2830151628955,38949.383029090386,3353.426278484199,863.2904998682146,187.5434705368986,207.7394059243249,1376.3534575817316,249.7293454447,811.6131358532158,2336.492015923381,626.789804145609,65440.72773268131,223.3247664320847,120.60847582545082,1954.520425496252
Inde,853.1902127889754,583.722497304186,1315.7815581119341,1948.0978998098788,263.4741803466377,70.6440616957531,124.648495602318,63.45106727788391,128.0562735724274,3510.9852419877675,1973.8184065102403,707.9623415552678,110.12951137895217,17939.1176302962,411.09430704767493,198.30128035712582
Indonésie,1.791403258364181,16.467639979061115,29.48754423632925,16.374892269060783,6.797932875741467,1.3837633087588643,1.320742851551161,1.5929845040618507,2.597659615954646,4.419075166426106,29.63796256253733,7.724651903738821,2.4188258102528413,2.1904894270678708,18504.99326828799,7.126857676206432
Japon,0.8431981558060152,10.188100139653153,13.438533998273549,32.1620245396083,1.7108175235511918,0.5928953487955976,0.7062821891232722,0.5456497902386598,1.1202092311125889,2.882099005921957,10.025819954076773,3.356433834299131,1.3937703939757735,1.412199177312692,0.9248792465255575,2954.3035725406926
