Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,84.67959228542273,0.6061094954762438,1.5923504058722484,0.8167398377271241,0.4328891020609943,0.21379186148979898,0.226328476014908,0.09721185351827479,0.16076696071141663,3.666056196535345,5.070814631152527,1.3010806691821368,0.21687499980159775,0.4504829475429974,0.07339636962855044,0.395513907863132
Chine,0.11320310374872081,96.1763537994232,0.9588183807904697,0.48298937904547207,0.23976267469808404,0.03951042995865144,0.10656675923569356,0.02449039398641862,0.08490368906263601,0.43286127076115327,0.6941804306397432,0.23142630052101967,0.08037214833397156,0.06860355003404109,0.04008528190325695,0.22587240785747614
Etats-Unis,0.058606820482433354,0.2048059772435675,93.25155837809717,1.1149615995336064,0.42358041822247033,0.02724718293961133,0.12068296930263905,1.6264172873488631,0.03399214389922559,0.36027562810878494,0.5091122964620657,0.1839212073057599,1.2104296251135984,0.027030868144959915,0.023222204837896665,0.824155392957337
Asie Pacifique,1.6876646041152372,7.200065166277499,8.270401661747394,58.66899303785694,1.4524518044851567,0.2541958134755214,0.7963597160768237,0.313360012990793,1.7277603823139254,3.7102501313934133,5.824131543774085,2.4468838747746817,1.0740246767464732,1.2474579778477155,1.5444911595582853,3.7815084365660625
Amérique Latine et Caraïbes,1.7120510664532442,1.4992733275566492,4.5100451043689,1.7184166469112856,65.6838959162299,1.8775268530630371,5.615920566023988,0.4099987521546353,0.1469442959179469,4.338015123162363,9.43223863328667,1.726110918529033,0.4445859562984473,0.22400191641349607,0.08468404070117218,0.5762908829292482
Brésil,0.9529146222236144,0.6613998094366526,0.9786529853914316,1.6205643018479572,2.5629148540199553,83.16436275963798,2.869242470526697,0.0641945362798867,0.05434282597204448,4.605905291829611,1.5542857161469978,0.39929123538442024,0.06935076462489055,0.12134590933280136,0.05684172857739212,0.26439018876766734
Russie,0.30643241300319796,1.035491359913688,0.7278456996411332,2.6285644464059956,0.2557092321386102,0.12954228043744098,87.7074394867375,0.06900002615649672,0.08807900782124396,0.5236525884373373,3.881631527107611,1.7465268134538015,0.09178966805508836,0.4287501109158043,0.06597056408328039,0.3135747756917541
Mexique,0.02385733548923306,0.07818204895076272,16.2395722560179,0.27491212528356757,0.5934734127096203,0.041954596411848,0.017336548578460276,81.12955362086419,0.02168672300168107,0.07237704376372882,0.24178474116407328,0.06920603337841766,0.22795275420776107,0.012585375496906758,0.008299446811002014,0.9472659378708441
Australie,0.5573976843105346,2.2000873718974026,6.322391672718443,5.576678491781952,0.42123534203321766,0.1267164566158139,0.7143803699267234,0.10121029157209832,64.12427529359228,2.0807385825444302,1.979056401911165,0.898880844252509,0.4200104563249912,0.24237554499835376,5.946900389950076,8.287664805570058
Moyen-Orient,4.833532706179219,2.551540139923839,7.9042508393711035,4.843153686565561,0.7670405108513311,0.4240371852436751,0.5038464873750861,0.21913099932875552,0.613815783266698,61.64946435450034,8.366536914194533,2.9984114393077594,0.36515858276902413,2.2540988342607657,0.510132954586895,1.195848582275411
Union européenne,0.7414002734056304,0.37068674246019345,0.9863234020828633,0.6223655288513158,0.23987865045056964,0.11009556582437115,1.0792553967345226,0.06780130683812596,0.1714035594239059,0.9764041973183861,90.47020751725428,3.565920660041445,0.14074868494149073,0.1678414675552731,0.03990675016533599,0.24976029665229063
Europe,1.0594860904642727,0.8297550834249188,1.2566447143255024,1.8458944105695776,0.4594754131504265,0.1887397094998332,8.703821472207244,0.09637783151368887,0.24595686908884545,3.462268269701993,7.236816165030249,73.49914618738471,0.2549453269104064,0.37352047064828464,0.1118314283263344,0.37532055775370504
Canada,0.19069973808788107,0.9050923601805301,29.206773345084546,1.4161146047934061,0.5270294276790743,0.10315837789236813,0.44067106114120846,1.688559272461388,0.19365305217176387,0.34790512313859046,1.5564467506341002,0.5027990801809409,61.606895786281754,0.12161387327645848,0.08921025117734495,1.1033778958186424
Inde,2.3612678407622743,0.9859237659264818,3.1582826339407477,6.904930829678331,0.9113991972005097,0.18049565401108122,0.22351828264456094,0.12448080037759503,0.4620635523256533,8.910164320610654,7.57306641316222,2.9802552443097508,0.2807182579735132,64.12640845973081,0.2938293548748235,0.5231953924709952
Indonésie,0.10595265940399545,0.02952985951170771,0.1267738755447127,0.10202891185889251,0.027167565173523825,0.0071935131779262765,0.011366639260876641,0.009284258989239758,0.0139240699995872,0.027999635901143495,0.19860264743565043,0.05586155727825633,0.007650223181518778,0.011055868771439332,99.23625520411431,0.029353510397213643
Japon,0.01162027789285238,0.08386901631467479,0.16754281738114077,0.37476242778882496,0.024411923890506566,0.005316620334016653,0.005546403867369662,0.005004697579672299,0.012776152999284163,0.03594339669658743,0.0714028935915502,0.023431894386431656,0.00930092530614537,0.012234806248629883,0.009209670464388099,99.14762607525792
